asset_code,asset_name,asset_symbol,asset_contract_address,asset_decimals,network,network-code,is_fee,is_origin,asset_type,asset_tag,cannonical_asset,backing_asset
0g,0G,0G,,18,0g aristotle,0g-aristotle,,TRUE,crypto,native,,
1inch_c302.binance-smart-chain,1INCH Token,1INCH,0x111111111117dC0aa78b770fA6A738034120C302,18,binance smart chain,binance-smart-chain,,,crypto,,1inch_c302.ethereum,
1inch_c302.ethereum,1INCH Token,1INCH,0x111111111117dC0aa78b770fA6A738034120C302,18,ethereum,ethereum,,,crypto,,,
aapl,Apple,AAPL,,0,stock-exchange,stock-exchange,,,equity,,,
aaplon_18c4.binance-smart-chain,Apple (Ondo Tokenized),AAPLon,0x390a684EF9cADE28A7AD0DFa61AB1Eb3842618c4,18,binance smart chain,binance-smart-chain,,,crypto,xstock,,aapl
aaplx_890a.ethereum,Apple xStock,AAPLx,0x9d275685dC284C8eB1C79f6ABA7a63Dc75ec890a,18,ethereum,ethereum,,,crypto,xstock,,aapl
aaplx_890a.mantle,Apple xStock,AAPLx,0x9d275685dC284C8eB1C79f6ABA7a63Dc75ec890a,18,mantle,mantle,,,crypto,xstock,aaplx_890a.ethereum,
aaplx_jzjp.solana,Apple xStock,AAPLx,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,8,solana,solana,,,crypto,xstock,aaplx_890a.ethereum,
ada,ADA,ADA,,6,cardano,cardano,,TRUE,crypto,native,,
ada_5d47.binance-smart-chain,Cardano Token,ADA,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,18,binance smart chain,binance-smart-chain,,,crypto,,ada,
akash,Akash,AKASH,,6,akash,akash,,TRUE,crypto,native,,
algo,Algorand,ALGO,,6,algorand,algorand,TRUE,TRUE,crypto,native,,
amzn,Amazon,AMZN,,0,stock-exchange,stock-exchange,,,equity,,,
ap3x,AP3X,AP3X,,18,apex fusion nexus,apex-fusion-nexus,,TRUE,crypto,native,,
ape,Ape Coin,APE,,18,apechain,apechain,,TRUE,crypto,native,,
arb_4ad1.ethereum,Arbitrum,ARB,0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,18,ethereum,ethereum,,,crypto,,arb_4ad1.ethereum,
arb_6548.arbitrum-one,Arbitrum,ARB,0x912CE59144191C1204E64559FE8253a0e49E6548,18,arbitrum one,arbitrum-one,,TRUE,crypto,,,
astr,Astar,ASTR,,18,astar,astar,,TRUE,crypto,native,,
atom,Cosmos Hub,ATOM,,6,cosmos hub,cosmos-hub,TRUE,TRUE,crypto,native,,
aud,Australian Dollar,AUD,,2,central-banks,central-banks,,,fiat,,,
aurora,AURORA,AURORA,,18,aurora.dev,aurora-dev,,TRUE,crypto,native,,
avax,AVAX,AVAX,,18,avalanche,avalanche,,TRUE,crypto,native,,
axl,Axelar,AXL,,6,axelar,axelar,TRUE,TRUE,crypto,native,,
azero,Aleph Zero EVM,AZERO,,18,aleph zero,aleph-zero,,TRUE,crypto,native,,
baby,Babylon,BABY,,6,babylon,babylon,,TRUE,crypto,native,,
bch,Bitcoin Cash,BCH,,8,bitcoin cash,bitcoin-cash,,TRUE,crypto,native,,
bcha,Bitcoin Cash ABC,BCHA,,8,bitcoin cash abc,bitcoin-cash-abc,,TRUE,crypto,native,,
bera,Berachain,BERA,,18,berachain,berachain,,TRUE,crypto,native,,
blsh,Bullish,BLSH,,0,stock-exchange,stock-exchange,,,equity,,,
bnb,BNB,BNB,,18,binance smart chain,binance-smart-chain,,TRUE,crypto,native,,
brl,Brazilian Real,BRL,,2,central-banks,central-banks,,,fiat,,,
bsv,Bitcoin SV,BSV,,8,bitcoin sv,bitcoin-sv,,TRUE,crypto,native,,
btc,Bitcoin,BTC,,8,bitcoin,bitcoin,,TRUE,crypto,native,,
cad,Canadian Dollar,CAD,,2,central-banks,central-banks,,,fiat,,,
cam,CAM,CAM,,18,camino,camino,,TRUE,crypto,native,,
canto,Canto,CANTO,,18,canto,canto,,TRUE,crypto,native,,
cc,Canton,CC,,10,canton,canton,,TRUE,crypto,native,,
celo,Celo,CELO,,18,celo,celo,,TRUE,crypto,native,,
cfg,Centrifuge,CFG,,18,centrifuge,centrifuge,TRUE,TRUE,crypto,native,,
chf,Swiss Franc,CHF,,2,central-banks,central-banks,,,fiat,,,
chz,Chiliz,CHZ,,18,chiliz,chiliz,,TRUE,crypto,native,,
chz_legacy,Chiliz Legacy,CHZ,,18,chiliz legacy chain,chiliz-legacy-chain,,TRUE,crypto,native,,
citrea,cBTC,CITREA,,18,citrea,citrea,,TRUE,crypto,native,,
cny,Chinese Yuan,CNY,,2,central-banks,central-banks,,,fiat,,,
coin,Coinbase,COIN,,0,stock-exchange,stock-exchange,,,equity,,,
core,Core DAO,CORE,,18,core dao,core-dao,,TRUE,crypto,native,,
crcl,Circle,CRCL,,0,stock-exchange,stock-exchange,,,equity,,,
cro,Cronos,CRO,,18,cronos,cronos,,TRUE,crypto,native,,
cro_450b.ethereum,CRO,CRO,0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,8,ethereum,ethereum,,,crypto,,cro,
dash,Dash,DASH,,8,dash,dash,,TRUE,crypto,native,,
doge,Dogecoin,DOGE,,8,dogecoin,dogecoin,,TRUE,crypto,native,,
dot,Polkadot,DOT,,10,polkadot asset hub,asset-hub,,TRUE,crypto,native,,
dydx,DYDX,DYDX,,18,dydx,dydx,TRUE,TRUE,crypto,native,,
eos,EOS,EOS,,4,eos.io,eos-io,,TRUE,crypto,native,,
etc,Classic Ether,ETC,,18,ethereum classic,ethereum-classic,,TRUE,crypto,native,,
eth,Ether,ETH,0,18,ethereum,ethereum,TRUE,TRUE,crypto,native,,
eth_0.abstract,Ether (Abstract),ETH,0,18,abstract,abstract,TRUE,,crypto,bridge-token,eth,
eth_0.aevo,Ether (Aevo),ETH,0,18,aevo,aevo,TRUE,,crypto,bridge-token,eth,
eth_0.arbitrum-one,Ether (Arbitrum One),ETH,0,18,arbitrum one,arbitrum-one,TRUE,,crypto,bridge-token,eth,
eth_0.base,Ether (Base),ETH,0,18,base,base,TRUE,,crypto,bridge-token,eth,
eth_0.blast,Ether (Blast),ETH,0,18,blast,blast,TRUE,,crypto,bridge-token,eth,
eth_0.bob,Ether (Bob),ETH,0,18,bob,bob,TRUE,,crypto,bridge-token,eth,
eth_0.codex,Ether (Codex),ETH,0,18,codex,codex,TRUE,,crypto,bridge-token,eth,
eth_0.ink,Ether (Ink),ETH,0,18,ink,ink,TRUE,,crypto,bridge-token,eth,
eth_0.katana,Ether (Katana),ETH,0,18,katana,katana,TRUE,,crypto,bridge-token,eth,
eth_0.linea,Ether (Linea),ETH,0,18,linea,linea,TRUE,,crypto,bridge-token,eth,
eth_0.lisk,Ether (Lisk),ETH,0,18,lisk,lisk,TRUE,,crypto,bridge-token,eth,
eth_0.manta,Ether (Manta),ETH,0,18,manta,manta,TRUE,,crypto,bridge-token,eth,
eth_0.megaeth,Ether (MegaETH),ETH,0,18,megaeth,megaeth,TRUE,,crypto,bridge-token,eth,
eth_0.morph,Ether (Morph),ETH,0,18,morph,morph,TRUE,,crypto,bridge-token,eth,
eth_0.nahmii,Ether (Nahmii),ETH,0,18,nahmii,nahmii,TRUE,,crypto,bridge-token,eth,
eth_0.optimism,Ether (Optimism),ETH,0,18,optimism,optimism,TRUE,,crypto,bridge-token,eth,
eth_0.polygon-zkevm,Ether (Polygon ZkEVM),ETH,0,18,polygon zkevm,polygon-zkevm,TRUE,,crypto,bridge-token,eth,
eth_0.scroll,Ether (Scroll),ETH,0,18,scroll,scroll,TRUE,,crypto,bridge-token,eth,
eth_0.soneium,Ether (Soneium),ETH,0,18,soneium,soneium,TRUE,,crypto,bridge-token,eth,
eth_0.unichain,Ether (Unichain),ETH,0,18,unichain,unichain,TRUE,,crypto,bridge-token,eth,
eth_0.wirex-pay,Ether (Wirex Pay),ETH,0,18,wirex pay,wirex-pay,TRUE,,crypto,bridge-token,eth,
eth_0.worldchain,Ether (Worldchain),ETH,0,18,worldchain,worldchain,TRUE,,crypto,bridge-token,eth,
eth_0.zircuit,Ether (Zircuit),ETH,0,18,zircuit,zircuit,TRUE,,crypto,bridge-token,eth,
eth_0.zksync,Ether (ZkSync),ETH,0,18,zksync era,zksync,TRUE,,crypto,bridge-token,eth,
eth_33f8.binance-smart-chain,Ether (Binance Smart Chain),ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,18,binance smart chain,binance-smart-chain,,,crypto,bridge-token,eth,
eth_6e15.avalanche,Ether (Avax),ETH,0xf20d962a6c8f70c731bd838a3a388D7d48fA6e15,18,avalanche,avalanche,,,crypto,bridge-token,eth,
eth_6pxk.solana,Ether (Sollet),ETH,2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,6,solana,solana,,,crypto,bridge-token,eth,
eth_c76d.fantom,Ether (Fantom),ETH,0x74b23882a30290451A17c44f4F05243b6b58C76d,18,fantom,fantom,,,crypto,bridge-token,eth,
ethw,Ethereum PoW,ETHW,,18,ethereum pow,ethereum-pow,,TRUE,crypto,native,,
eur,Euro,EUR,,2,central-banks,central-banks,,,fiat,,,
evmos,Evmos,EVMOS,,18,evmos,evmos,,TRUE,crypto,native,,
fil,Filecoin,FIL,,18,filecoin,filecoin,,TRUE,crypto,native,,
flow,Flow,FLOW,,18,flow evm,flow-evm,,TRUE,crypto,native,,
flr,Flare,FLR,,18,flare,flare,,TRUE,crypto,native,,
ftm,Fantom,FTM,,18,fantom,fantom,,TRUE,crypto,native,,
